id,neuroticism,extraversion,openness_to_experience,agreeableness,conscientiousness,success_ classification_ high_low,personality_stability
8120,33,34,39,45,51,1,57
8951,50,36,31,59,39,0,20
8656,38,35,42,39,49,1,53
8796,41,26,30,40,19,0,8
8470,20,17,21,31,26,0,27
8063,50,33,21,47,27,0,-2
8778,26,54,49,48,60,1,83
8072,33,40,28,24,43,0,38
8360,31,38,49,43,56,1,74
8001,58,27,64,42,28,0,34
8422,21,60,46,46,57,1,82
8303,47,22,32,42,57,0,42
8596,33,50,40,43,55,1,62
8979,31,56,53,52,64,1,86
8233,40,48,46,50,49,1,55
8733,27,60,38,45,40,0,51
8198,31,43,42,59,31,0,42
8083,44,36,49,40,50,1,55
8168,27,48,50,50,55,1,78
8159,23,46,51,54,52,1,80
8776,25,58,34,45,18,0,27
8128,35,54,28,42,23,0,16
8028,24,22,26,57,34,0,36
8897,33,40,44,39,44,0,55
8196,39,53,58,49,58,1,77
8051,35,49,53,49,59,1,77
8444,18,29,28,37,20,0,30
8610,40,34,38,46,26,0,24
8959,46,45,42,22,35,0,31
8225,44,43,49,46,52,1,57
8484,46,30,25,37,51,0,30
8228,26,32,37,44,35,0,46
8881,50,59,53,20,25,0,28
8104,61,17,41,59,25,0,5
8312,60,21,31,33,25,0,-4
8065,17,26,34,30,44,0,61
8799,56,53,25,43,44,0,13
8667,38,34,24,20,29,0,15
8648,29,41,44,43,24,0,39
8605,47,50,47,60,58,1,58
8611,39,49,47,48,52,1,60
8898,31,31,24,23,44,0,37
8351,27,25,24,53,45,0,42
8623,33,31,30,46,63,0,60
8308,22,46,44,60,42,0,64
8745,34,54,53,54,40,1,59
8009,35,46,46,47,56,1,67
8863,23,62,55,49,64,1,96
8734,33,50,46,48,53,1,66
8880,46,53,58,38,56,1,68
8565,37,50,52,46,54,1,69
8069,52,41,43,46,49,1,40
8640,27,51,57,53,49,1,79
8819,39,60,50,47,63,1,74
8884,27,42,20,37,33,0,26
8489,28,51,53,56,60,1,85
8212,35,54,44,50,57,1,66
8905,34,28,24,22,42,0,32
8228,44,28,44,61,27,0,27
8308,37,50,53,41,51,1,67
8278,25,57,45,42,50,1,70
8756,23,65,50,26,54,0,81
8189,21,44,38,32,46,0,63
8546,30,21,40,62,24,0,34
8412,44,61,39,26,29,0,24
8086,27,37,55,55,45,0,73
8736,27,55,45,45,58,1,76
8612,38,44,47,41,51,1,60
8131,27,61,54,49,66,1,93
8317,44,47,46,46,40,1,42
8342,41,38,48,49,49,1,56
8516,29,56,42,49,61,1,74
8868,60,37,40,42,56,1,36
8341,35,51,52,45,54,1,71
8676,41,36,53,43,50,1,62
8445,42,55,39,55,58,1,55
8657,29,62,48,49,55,1,74
8572,28,32,24,51,51,0,47
8679,30,54,47,58,57,1,74
8859,31,41,27,58,41,0,37
8628,36,22,19,62,62,0,45
8712,40,54,44,49,62,1,66
8972,47,48,65,44,46,1,64
8092,65,31,27,29,29,0,-9
8301,35,42,34,29,50,0,49
8209,25,17,43,31,24,0,42
8198,41,39,48,46,59,1,66
8789,27,36,35,46,43,0,51
8498,66,45,49,24,24,0,7
8708,35,45,47,56,62,1,74
8230,34,45,44,46,49,1,59
8956,19,46,25,64,22,0,28
8540,46,47,45,43,52,1,51
8112,32,59,48,49,57,1,73
8694,45,51,39,56,53,1,47
8064,20,39,19,25,24,0,23
8656,36,46,45,44,54,1,63
8800,32,50,49,45,53,1,70
8919,26,51,49,48,59,1,82
8585,41,23,21,27,61,0,41
8769,26,26,19,34,35,0,28
8631,28,33,45,30,21,0,38
8161,47,43,47,51,43,1,43
8508,40,22,22,20,29,0,11
8239,24,40,23,64,21,0,20
8288,54,25,48,34,21,0,15
8396,28,56,44,49,59,1,75
8887,23,24,39,37,64,0,80
8150,26,52,29,54,30,0,33
8309,56,42,43,50,38,1,25
8190,34,50,56,39,49,1,71
8355,29,51,49,49,57,1,77
8933,44,53,44,30,24,0,24
8598,36,36,55,47,46,1,65
8511,52,40,27,63,45,0,20
8417,44,29,20,50,26,0,2
8301,30,56,41,48,52,1,63
8725,34,35,50,45,59,1,75
8357,40,21,61,32,54,0,75
8567,21,44,28,27,23,0,30
8333,54,39,43,38,50,1,39
8089,23,48,47,58,61,1,85
8173,31,50,43,44,55,1,67
8520,50,25,48,17,23,0,21
8418,62,37,45,43,39,1,22
8722,57,31,51,41,42,1,36
8591,32,59,58,51,60,1,86
8380,49,45,40,50,58,1,49
8835,40,26,31,36,43,0,34
8011,42,45,44,46,54,1,56
8192,23,47,45,62,38,0,60
8558,27,46,24,64,25,0,22
8887,34,47,49,52,53,1,68
8065,36,47,54,52,51,1,69
8609,37,22,33,38,35,0,31
8121,42,61,30,53,51,0,39
8521,19,57,46,52,57,1,84
8303,39,46,47,50,50,1,58
8764,44,46,43,39,52,1,51
8865,23,62,28,64,62,0,67
8372,28,65,18,64,23,0,13
8684,33,55,43,55,65,1,75
8862,33,42,41,50,47,1,55
8638,68,43,36,26,44,0,12
8743,40,53,55,41,51,1,66
8447,20,60,61,60,60,1,101
8543,32,24,42,24,28,0,38
8076,67,34,25,68,52,0,10
8753,27,55,60,51,57,1,90
8489,56,20,23,21,24,0,-9
8261,44,42,42,45,47,1,45
8894,38,51,46,48,48,1,56
8847,22,53,55,46,62,1,95
8281,32,67,31,27,39,0,38
8729,41,41,18,66,30,0,7
8221,24,64,59,51,56,1,91
8427,51,56,50,48,44,1,43
8061,27,32,47,46,49,0,69
8779,28,54,59,45,53,1,84
8090,24,47,32,19,20,0,28
8504,36,43,49,46,48,1,61
